rank,symbol,asof_month_traded_value
429,GICRE,661077991.0
430,TINPLATE,657861103.45
431,GSFC,648090671.3
432,SNOWMAN,643198572.95
433,HUDCO,637117473.55
434,MAXINDIA,637000651.65
435,POLYPLEX,634851292.95
436,TRIVENI,630602861.65
437,AMRUTANJAN,629362715.8
438,KALPATPOWR,626780570.6
439,SRIPIPES,624756132.65
440,SCHAEFFLER,621768199.4
441,PRINCEPIPE,615167936.15
442,HSCL,606891380.5
443,ORIENTREF,603110140.55
444,MSTCLTD,601033341.85
445,INDOCO,593185713.35
446,JSL,590717929.9
447,RATNAMANI,588606006.2
448,SUZLON,586769605.6
449,JKTYRE,583066702.15
450,WELENT,583014152.7
451,GATI,582262295.3
452,ASTRAMICRO,574340013.0
453,EIDPARRY,573878615.05
454,UFO,573249117.05
455,HFCL,573117038.4
456,REPCOHOME,571474509.9
457,MAHSCOOTER,570901429.1
458,SWSOLAR,568989760.8
459,MAHINDCIE,566891884.6
460,GALAXYSURF,564022544.95
461,GESHIP,560177044.1
462,TATACOFFEE,557985015.35
463,TATASTLBSL,556475755.35
464,FLFL,548371598.25
465,LEMONTREE,545153313.15
466,SOLARA,543258502.9
467,TRIDENT,540220581.2
468,PRAKASH,540213080.05
469,VTL,538414929.65
470,JSLHISAR,536563465.95
471,MEGH,534431216.1
472,VARROC,533697338.75
473,BHARATRAS,530819706.5
474,INGERRAND,528391821.35
475,CSBBANK,518357810.75
476,POLYMED,515140712.25
477,JAMNAAUTO,513139491.75
478,WATERBASE,511722101.45
479,GRSE,501795631.3
480,DAAWAT,496322525.95
481,BLUEDART,496074284.6
482,DCAL,494778928.15
483,ARVIND,494379912.3
484,KSB,492975216.4
485,SIS,489519722.4
486,ORISSAMINE,483139526.35
487,CHALET,481999819.4
488,DWARKESH,479083275.85
489,DCMSHRIRAM,475937944.2
490,HAL,475525436.3
491,GRINDWELL,473486302.7
492,WABAG,472052894.45
493,LINDEINDIA,466164674.0
494,N100,465845151.78
495,ALLCARGO,464019000.05
496,VAIBHAVGBL,455828285.9
497,LAKSHVILAS,452605250.3
498,KOTAKGOLD,447802254.15
499,TATAINVEST,446622773.1
500,NILKAMAL,446026665.05
501,DREDGECORP,444618704.6
502,AARTIDRUGS,443200351.9
503,IGARASHI,442298725.3
504,FAIRCHEM,440512832.25
505,MAHLOG,434534230.05
506,KITEX,432107671.45
507,CARBORUNIV,428472388.0
508,CAMLINFINE,427589405.05
509,NETFMID150,426728688.18
510,ICICILIQ,424786568.43
511,USHAMART,422424201.2
512,HIKAL,418273426.75
513,GARFIBRES,417026322.35
514,HINDCOPPER,407558179.65
515,BANCOINDIA,403546400.9
516,CHENNPETRO,398135656.45
517,TCNSBRANDS,396067406.95
518,ALBK,395331483.4
519,SHILPAMED,391182404.8
520,BDL,389515116.95
521,GREAVESCOT,386058818.8
522,COSMOFILMS,384607179.45
523,TCIEXP,384143641.9
524,BALAMINES,380483793.15
525,HINDOILEXP,378220510.6
526,LAOPALA,375148556.3
527,J&KBANK,374972416.25
528,SADBHAV,368901086.55
529,GUJALKALI,366029622.45
530,TASTYBITE,363186241.7
531,MAITHANALL,358897992.8
532,BEPL,357141363.55
533,TWL,354262053.4
534,ASIANTILES,352891828.8
535,ADFFOODS,349877247.5
536,ACCELYA,348891700.45
537,ASAHIINDIA,346626815.8
538,THOMASCOOK,346546815.85
539,ADVENZYMES,346236239.2
540,LIQUIDETF,344961180.85
541,PSPPROJECT,344853313.75
542,MINDACORP,344693410.95
543,QUICKHEAL,339032240.25
544,SHARDACROP,332217098.55
545,MARKSANS,323356397.7
546,DFMFOODS,322610229.95
547,SFL,322580572.95
548,ANDHRSUGAR,320649193.65
549,BODALCHEM,319920006.95
550,POWERMECH,318560763.45
551,CLNINDIA,316509161.1
552,SHRIRAMCIT,311240352.55
553,HCC,310486498.4
554,SHANKARA,310113965.7
555,SMLISUZU,309541535.15
556,JKIL,308387605.45
557,ARMANFIN,307954511.2
558,MRPL,306292178.5
559,APTECHT,305834195.0
560,ICICILOVOL,304753055.09
561,MHRIL,303762447.35
562,ICICIB22,303533977.27
563,MASTEK,303187115.95
564,RELCAPITAL,302884693.7
565,MANGLMCEM,300100961.15
566,TRITURBINE,299160823.9
567,AVADHSUGAR,297593705.9
568,EIHOTEL,295226236.0
569,TANLA,291719739.4
570,MAHLIFE,290176881.5
571,FCONSUMER,288984010.05
572,SHREDIGCEM,287927840.35
573,KPITTECH,286563764.0
574,GPPL,286355353.45
575,ITDC,282301874.05
576,BALMLAWRIE,273081387.6
577,PAPERPROD,270590500.8
578,MAYURUNIQ,265179630.9
579,ICRA,263406228.2
580,INTELLECT,262903987.95
581,RPOWER,262710625.6
582,ASTEC,262412699.95
583,TATAMETALI,259337789.05
584,WSTCSTPAPR,258685631.85
585,IIFLSEC,257989715.85
586,GICHSGFIN,257103769.9
587,NELCO,254613304.05
588,CANTABIL,252913916.0
589,IFCI,249439878.25
590,DALMIASUG,248055287.55
591,DHFL,247798641.15
592,LIBERTSHOE,245879762.5
593,CENTRALBK,244013966.5
594,MOLDTKPAC,243029278.2
595,GMBREW,242632131.75
596,HERITGFOOD,241650325.25
597,AHLUCONT,239569848.45
598,PRSMJOHNSN,238711026.25
599,TFCILTD,237280229.9
600,APOLLOPIPE,235501145.65
601,NAVNETEDUL,234673925.75
602,GEPIL,233796638.25
603,EXCELINDUS,231351839.8
604,GABRIEL,230413731.65
605,EVERESTIND,229789849.8
606,GMDCLTD,229658602.9
607,RCOM,225550543.8
608,GPIL,224856234.8
609,UFLEX,223826743.25
610,APARINDS,222811066.9
611,NBVENTURES,220618071.0
612,TNPL,220269057.3
613,VISAKAIND,218349702.5
614,IFBIND,218231249.6
615,SUVENPHAR,217013703.15
616,KCP,216876347.5
617,CORPBANK,216132089.15
618,JISLJALEQS,214927537.7
619,CUPID,214312475.35
620,DHANUKA,214181943.5
621,VOLTAMP,212261942.55
622,OLECTRA,211628037.8
623,ICICI500,208271606.42
624,MATRIMONY,206935348.5
625,MMTC,206893202.85
626,FEL,206278988.4
627,MEP,205712040.1
628,HATSUN,204342648.7
629,HIL,204058420.7
630,HSIL,202519497.2
631,SHOPERSTOP,198856353.9
632,GOLDSHARE,198009750.9
633,STARPAPER,196855268.35
634,NEWGEN,196500653.25
635,KSL,196395151.2
636,SCHNEIDER,194708829.5
637,BFINVEST,193862597.55
638,SETFNN50,193826553.34
639,SOMANYCERA,192695723.9
640,SHAKTIPUMP,192230295.75
641,SASKEN,192052592.05
642,BAJAJHIND,191617927.8
643,SHALPAINTS,188043919.3
644,NETWORK18,187545571.5
645,HIMATSEIDE,186612252.4
646,GNA,186351451.45
647,ARVINDFASN,185059082.1
648,SURYAROSNI,185013905.7
649,SWARAJENG,184868961.95
650,TIDEWATER,184858581.7
651,HESTERBIO,182852951.2
652,FLUOROCHEM,182434768.9
653,IOB,181882773.75
654,TATASTLLP,181340433.55
655,ANUP,180295929.8
656,HDFCNIFETF,178679970.08
657,CONFIPET,177836723.95
658,UCOBANK,177809414.8
659,CIGNITITEC,176761728.6
660,ICICIBANKN,176072652.18
661,MAN50ETF,172927899.91
662,ALEMBICLTD,172444162.7
663,TCI,172033608.25
664,RKFORGE,171961422.7
665,ASHIANA,171747535.3
666,GDL,171518833.15
667,ASIANHOTNR,170883999.1
668,GAEL,170379763.75
669,FILATEX,169805600.4
670,TEXRAIL,169664945.5
671,DBCORP,169481761.9
672,MAJESCO,168635620.2
673,ANDHRABANK,167968612.4
674,ICIL,167317907.8
675,ZENSARTECH,165365910.55
676,WONDERLA,164786571.9
677,KOLTEPATIL,164147519.2
678,TIMETECHNO,163916511.5
679,VADILALIND,163682645.0
680,ITDCEM,163197640.4
681,SHIL,162045518.35
682,UNICHEMLAB,161857480.15
683,MIRZAINT,161615266.9
684,INOXWIND,157507925.7
685,SATIN,157241277.05
686,STARCEMENT,155889783.15
687,GVKPIL,155459941.1
688,SHALBY,155390952.25
689,GLOBUSSPR,154521517.55
690,RESPONIND,154229065.8
691,MAGMA,153846821.0
692,ACE,153576425.7
693,GEOJITFSL,153176008.15
694,NFL,151756532.15
695,MAHSEAMLES,150936247.3
696,ANANTRAJ,150361681.05
697,JAGRAN,149980742.3
698,ORIENTCEM,148833403.4
699,KPRMILL,147645676.8
700,SWANENERGY,146470466.9
701,NEULANDLAB,145783211.2
702,THANGAMAYL,145431892.1
703,JMCPROJECT,145148294.15
704,CAREERP,144711558.3
705,MOREPENLAB,143656842.0
706,RPGLIFE,143378171.85
707,OCCL,141989391.1
708,TAKE,141906905.3
709,SUBROS,141318369.4
710,VSTTILLERS,140642265.35
711,ESABINDIA,140523909.05
712,63MOONS,139929029.6
713,DHANBANK,139520961.25
714,JTEKTINDIA,138926249.85
715,INDIANHUME,138767327.95
716,V2RETAIL,138390513.7
717,SHK,138265449.75
718,SUVEN,138226815.05
719,PFS,137749499.0
720,CESCVENT,137477758.4
721,ORIENTPPR,137319226.25
722,AXISGOLD,137174970.95
723,RENUKA,136966919.85
724,NCLIND,135380902.25
725,TVTODAY,134243387.1
726,PENIND,133868225.7
727,ICICIM150,133724885.76
728,DIAMONDYD,133201195.15
729,PILANIINVS,132723704.35
730,INSECTICID,132365426.0
731,VRLLOG,131879526.75
732,JBMA,131167115.15
733,BBL,130853790.5
