symbol,status,note
SKFINDIA,ok,"2 series, svg+mmd"
SKFINDUS,ok,"2 series, svg"
SKIPPER,ok,"2 series, svg+mmd"
SKYGOLD,ok,"2 series, svg+mmd"
SMARTWORKS,ok,"2 series, svg+mmd"
SMLMAH,ok,"2 series, svg+mmd"
SOBHA,ok,"3 series, svg+mmd"
SOLARINDS,ok,"3 series, svg+mmd"
SONACOMS,ok,"3 series, svg+mmd"
SONATSOFTW,ok,"3 series, svg+mmd"
SOUTHBANK,ok,"2 series, svg+mmd"
SPARC,ok,"2 series, svg+mmd"
SPLPETRO,ok,"1 series, svg+mmd"
SRF,ok,"3 series, svg+mmd"
STAR,ok,"2 series, svg+mmd"
STARCEMENT,ok,"2 series, svg+mmd"
STARHEALTH,ok,"3 series, svg+mmd"
STLTECH,ok,"2 series, svg+mmd"
STYL,ok,"2 series, svg+mmd"
STYRENIX,ok,"2 series, svg+mmd"
SUBROS,ok,"2 series, svg+mmd"
SUDARSCHEM,ok,"2 series, svg+mmd"
SUDEEPPHRM,ok,"2 series, svg+mmd"
SUMICHEM,ok,"3 series, svg+mmd"
SUNDARMFIN,ok,"3 series, svg+mmd"
SUNPHARMA,ok,"3 series, svg+mmd"
SUNTECK,ok,"2 series, svg+mmd"
SUNTV,ok,"3 series, svg+mmd"
SUPREMEIND,ok,"3 series, svg+mmd"
SUPRIYA,ok,"2 series, svg+mmd"
SURYAROSNI,ok,"2 series, svg+mmd"
SUZLON,ok,"3 series, svg+mmd"
SWANCORP,ok,"3 series, svg+mmd"
SWIGGY,ok,"3 series, svg+mmd"
SWSOLAR,ok,"2 series, svg+mmd"
SYNGENE,ok,"3 series, svg+mmd"
SYRMA,ok,"3 series, svg+mmd"
TANLA,ok,"2 series, svg+mmd"
TARC,ok,"2 series, svg+mmd"
TARIL,ok,"3 series, svg+mmd"
TATACAP,ok,"2 series, svg+mmd"
TATACHEM,ok,"3 series, svg+mmd"
TATACOMM,ok,"3 series, svg+mmd"
TATACONSUM,ok,"3 series, svg+mmd"
TATAELXSI,ok,"1 series, svg+mmd"
TATAINVEST,ok,"3 series, svg+mmd"
TATAPOWER,ok,"3 series, svg+mmd"
TATASTEEL,ok,"3 series, svg+mmd"
TATATECH,ok,"3 series, svg+mmd"
TBOTEK,ok,"3 series, svg+mmd"
TCS,ok,"3 series, svg+mmd"
TDPOWERSYS,ok,"2 series, svg+mmd"
TECHM,ok,"3 series, svg+mmd"
TECHNOE,ok,"3 series, svg+mmd"
TEGA,ok,"3 series, svg+mmd"
TEJASNET,ok,"3 series, svg+mmd"
TENNIND,ok,"2 series, svg+mmd"
TEXRAIL,ok,"2 series, svg+mmd"
THANGAMAYL,ok,"2 series, svg+mmd"
THELEELA,ok,"2 series, svg+mmd"
THERMAX,ok,"3 series, svg+mmd"
THOMASCOOK,ok,"2 series, svg+mmd"
THYROCARE,ok,"2 series, svg+mmd"
TI,ok,"2 series, svg+mmd"
TIINDIA,ok,"3 series, svg+mmd"
TIMETECHNO,ok,"2 series, svg+mmd"
TIMKEN,ok,"3 series, svg+mmd"
TIPSMUSIC,ok,"2 series, svg+mmd"
TITAGARH,ok,"3 series, svg+mmd"
TITAN,ok,"3 series, svg+mmd"
TMB,ok,"2 series, svg+mmd"
TMCV,no-chart,no year-on-year series to plot
TMPV,ok,"3 series, svg+mmd"
TORNTPHARM,ok,"3 series, svg+mmd"
TORNTPOWER,ok,"3 series, svg+mmd"
TRANSRAILL,ok,"2 series, svg+mmd"
TRAVELFOOD,ok,"2 series, svg+mmd"
TRENT,ok,"3 series, svg+mmd"
TRIDENT,ok,"3 series, svg+mmd"
TRITURBINE,ok,"3 series, svg+mmd"
TRIVENI,ok,"2 series, svg+mmd"
TSFINV,ok,"2 series, svg+mmd"
TTML,ok,"1 series, svg+mmd"
TVSMOTOR,ok,"3 series, svg+mmd"
TVSSCS,ok,"2 series, svg+mmd"
UBL,ok,"3 series, svg+mmd"
UCOBANK,ok,"3 series, svg+mmd"
UJJIVANSFB,ok,"2 series, svg+mmd"
ULTRACEMCO,ok,"3 series, svg+mmd"
UNIONBANK,ok,"3 series, svg+mmd"
UNITDSPR,ok,"3 series, svg+mmd"
UNOMINDA,ok,"3 series, svg+mmd"
UPL,ok,"3 series, svg+mmd"
URBANCO,ok,"2 series, svg+mmd"
USHAMART,ok,"3 series, svg+mmd"
UTIAMC,ok,"3 series, svg+mmd"
UTLSOLAR,ok,"2 series, svg"
V2RETAIL,ok,"2 series, svg+mmd"
VAIBHAVGBL,ok,"2 series, svg+mmd"
VARROC,ok,"2 series, svg+mmd"
VBL,ok,"3 series, svg+mmd"
VEDL,ok,"3 series, svg+mmd"
VGUARD,ok,"2 series, svg+mmd"
VIJAYA,ok,"3 series, svg+mmd"
VIKRAMSOLR,ok,"2 series, svg+mmd"
VIPIND,ok,"2 series, svg+mmd"
VIYASH,ok,"2 series, svg+mmd"
VMART,ok,"2 series, svg+mmd"
VMM,ok,"3 series, svg+mmd"
VOLTAMP,ok,"2 series, svg+mmd"
VOLTAS,ok,"3 series, svg+mmd"
VTL,ok,"3 series, svg+mmd"
WAAREEENER,ok,"3 series, svg+mmd"
WAAREERTL,ok,"2 series, svg+mmd"
WABAG,ok,"2 series, svg+mmd"
WAKEFIT,ok,"2 series, svg+mmd"
WEBELSOLAR,ok,"2 series, svg"
WELCORP,ok,"3 series, svg+mmd"
WELENT,ok,"2 series, svg+mmd"
WELSPUNLIV,ok,"3 series, svg+mmd"
WESTLIFE,ok,"2 series, svg+mmd"
WEWORK,ok,"2 series, svg+mmd"
WHIRLPOOL,ok,"3 series, svg+mmd"
WIPRO,ok,"3 series, svg+mmd"
WOCKPHARMA,ok,"3 series, svg+mmd"
YATHARTH,ok,"2 series, svg+mmd"
YESBANK,ok,"3 series, svg+mmd"
ZAGGLE,ok,"2 series, svg+mmd"
ZEEL,ok,"3 series, svg+mmd"
ZENSARTECH,ok,"3 series, svg+mmd"
ZENTEC,ok,"3 series, svg+mmd"
ZFCVINDIA,ok,"3 series, svg+mmd"
ZYDUSLIFE,ok,"3 series, svg+mmd"
ZYDUSWELL,ok,"3 series, svg+mmd"
