symbol,status,relative_points,note
CHOLAFIN,skipped,88,analysis: unchanged; comparison: unchanged
CHOLAHLDNG,skipped,82,analysis: unchanged; comparison: unchanged
CIEINDIA,skipped,48,analysis: unchanged; comparison: unchanged
CIPLA,skipped,25,analysis: unchanged; comparison: unchanged
CLEAN,skipped,9,analysis: unchanged; comparison: unchanged
CMSINFO,skipped,25,analysis: unchanged; comparison: unchanged
COALINDIA,skipped,40,analysis: unchanged; comparison: unchanged
COCHINSHIP,skipped,53,analysis: unchanged; comparison: unchanged
COFORGE,skipped,88,analysis: unchanged; comparison: unchanged
COHANCE,skipped,8,analysis: unchanged; comparison: unchanged
COLPAL,skipped,12,analysis: unchanged; comparison: unchanged
CONCOR,skipped,19,analysis: unchanged; comparison: unchanged
CONCORDBIO,skipped,4,analysis: unchanged; comparison: unchanged
COROMANDEL,skipped,60,analysis: unchanged; comparison: unchanged
CORONA,skipped,81,analysis: unchanged; comparison: unchanged
CPPLUS,skipped,92,analysis: unchanged; comparison: unchanged
CRAFTSMAN,skipped,94,analysis: unchanged; comparison: unchanged
CRAMC,skipped,83,analysis: unchanged; comparison: unchanged
CREDITACC,skipped,67,analysis: unchanged; comparison: unchanged
CRISIL,skipped,44,analysis: unchanged; comparison: unchanged
CRIZAC,skipped,96,analysis: unchanged; comparison: unchanged
CROMPTON,skipped,12,analysis: unchanged; comparison: unchanged
CSBBANK,skipped,40,analysis: unchanged; comparison: unchanged
CUB,skipped,62,analysis: unchanged; comparison: unchanged
CUMMINSIND,skipped,85,analysis: unchanged; comparison: unchanged
CUPID,skipped,100,analysis: unchanged; comparison: unchanged
CYIENT,skipped,6,analysis: unchanged; comparison: unchanged
DABUR,skipped,15,analysis: unchanged; comparison: unchanged
DALBHARAT,skipped,33,analysis: unchanged; comparison: unchanged
DATAMATICS,skipped,66,analysis: unchanged; comparison: unchanged
DATAPATTNS,skipped,95,analysis: unchanged; comparison: unchanged
DBL,skipped,57,analysis: unchanged; comparison: unchanged
DBREALTY,no-relative,,analysis: unchanged; comparison: unchanged
DCBBANK,skipped,53,analysis: unchanged; comparison: unchanged
DCMSHRIRAM,skipped,48,analysis: unchanged; comparison: unchanged
DEEPAKFERT,skipped,46,analysis: unchanged; comparison: unchanged
DEEPAKNTR,skipped,27,analysis: unchanged; comparison: unchanged
DELHIVERY,skipped,69,analysis: unchanged; comparison: unchanged
