date,symbol,event
2020-07-10,IRB,fresh signal REFUSED — falling earnings power
2020-07-10,ITI,"fresh signal NOT FUNDED — cash exhausted (BUY: 4.59× weekly, month 5.07×, ladder rising)"
2020-07-10,JAICORPLTD,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.58× weekly, month 2.17×, ladder rising)"
2020-07-10,JKPAPER,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.11× weekly, month 2.54×, ladder rising)"
2020-07-10,JKTYRE,fresh signal REFUSED — falling earnings power
2020-07-10,KIRLFER,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.57× weekly, month 2.13×, ladder rising)"
2020-07-10,KTKBANK,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.72× weekly, month 4.08×, ladder rising)"
2020-07-10,LINDEINDIA,"fresh signal NOT FUNDED — cash exhausted (BUY: 4.64× weekly, month 3.57×, ladder rising)"
2020-07-10,LUMAXIND,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.67× weekly, month 2.10×, ladder rising)"
2020-07-10,M&MFIN,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.16× weekly, month 4.11×, ladder rising)"
2020-07-10,MAHABANK,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 3.36× weekly, month 7.11×, ladder rising)"
2020-07-10,MAHSEAMLES,fresh signal REFUSED — falling earnings power
2020-07-10,MAITHANALL,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.06× weekly, month 1.89×, ladder rising)"
2020-07-10,MEGH,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.40× weekly, month 3.24×, ladder rising)"
2020-07-10,MOIL,fresh signal REFUSED — falling earnings power
2020-07-10,NATCOPHARM,fresh signal REFUSED — falling earnings power
2020-07-10,NATIONALUM,fresh signal REFUSED — falling earnings power
2020-07-10,NFL,fresh signal REFUSED — falling earnings power
2020-07-10,POLYMED,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.52× weekly, month 2.14×, ladder rising)"
2020-07-10,SAIL,fresh signal REFUSED — falling earnings power
2020-07-10,SEAMECLTD,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 7.51× weekly, month 3.41×, ladder rising)"
2020-07-10,SKFINDIA,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.89× weekly, month 2.34×, ladder rising)"
2020-07-10,SMLISUZU,"fresh signal NOT FUNDED — cash exhausted (BUY: 7.15× weekly, month 2.90×, ladder rising)"
2020-07-10,SMSPHARMA,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.99× weekly, month 6.01×, ladder rising)"
2020-07-10,SYNGENE,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.54× weekly, month 2.98×, ladder rising)"
2020-07-10,TIL,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 3.21× weekly, month 2.56×, ladder rising)"
2020-07-10,TINPLATE,"fresh signal NOT FUNDED — cash exhausted (BUY: 7.65× weekly, month 2.65×, ladder rising)"
2020-07-10,TNPL,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.57× weekly, month 4.71×, ladder rising)"
2020-07-10,UFLEX,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.83× weekly, month 3.20×, ladder rising)"
2020-07-10,WELCORP,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.22× weekly, month 2.23×, ladder rising)"
2020-07-13,HAL,"BUY ₹8.32 at ₹475.00 (fresh Friday signal — BUY: 16.26× weekly, month 17.08×, ladder rising; stop ₹358.48; charges ₹0.0099)"
2020-07-17,KIRLOSBROS,RAISE STOP ₹93.65 → ₹97.15 (new box ₹104.50–₹129.00 sealed)
2020-07-24,BDL,RAISE STOP ₹123.59 → ₹162.18 (new box ₹177.25–₹227.50 sealed)
2020-07-24,EIDPARRY,RAISE STOP ₹249.19 → ₹273.03 (new box ₹287.40–₹313.80 sealed)
2020-07-24,HAL,RAISE STOP ₹358.48 → ₹382.05 (new box ₹412.50–₹514.00 sealed)
2020-07-31,AARTIDRUGS,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.72× weekly, month 2.12×, ladder rising)"
2020-07-31,APOLLOPIPE,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 3.20× weekly, month 1.68×, ladder rising)"
2020-07-31,BANARISUG,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.66× weekly, month 2.72×, ladder rising)"
2020-07-31,CDSL,fresh signal REFUSED — falling earnings power
2020-07-31,DAAWAT,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.10× weekly, month 2.11×, ladder rising)"
2020-07-31,DEEPAKFERT,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.28× weekly, month 3.19×, ladder rising)"
2020-07-31,EVEREADY,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.54× weekly, month 3.63×, ladder rising)"
2020-07-31,FDC,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.71× weekly, month 4.44×, ladder rising)"
2020-07-31,GAEL,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.47× weekly, month 2.59×, ladder rising)"
2020-07-31,HINDZINC,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.57× weekly, month 2.28×, ladder rising)"
2020-07-31,ICIL,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.01× weekly, month 4.24×, ladder rising)"
2020-07-31,KIRIINDUS,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.67× weekly, month 2.41×, ladder rising)"
2020-07-31,LAURUSLABS,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.49× weekly, month 4.24×, ladder rising)"
2020-07-31,LTI,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.66× weekly, month 1.77×, ladder rising)"
2020-07-31,MANGCHEFER,"SELL ₹8.44 at stop ₹33.73 (-13.0%, charges ₹0.0088) — the cash goes back to work at the next Friday screen"
2020-07-31,MEGH,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.80× weekly, month 3.46×, ladder rising)"
2020-07-31,MPHASIS,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 3.52× weekly, month 2.87×, ladder rising)"
2020-07-31,MPSLTD,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.23× weekly, month 1.73×, ladder rising)"
2020-07-31,NATCOPHARM,fresh signal REFUSED — falling earnings power
2020-07-31,NEULANDLAB,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.80× weekly, month 4.40×, ladder rising)"
2020-07-31,NILKAMAL,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.38× weekly, month 1.68×, ladder rising)"
2020-07-31,OAL,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.73× weekly, month 18.20×, ladder rising)"
2020-07-31,PERSISTENT,fresh signal REFUSED — falling earnings power
2020-07-31,POLYMED,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 3.32× weekly, month 5.89×, ladder rising)"
2020-07-31,RPGLIFE,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.69× weekly, month 2.62×, ladder rising)"
2020-07-31,SAKSOFT,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.59× weekly, month 2.10×, ladder rising)"
2020-07-31,SEAMECLTD,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.59× weekly, month 3.61×, ladder rising)"
2020-07-31,SEQUENT,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.93× weekly, month 4.08×, ladder rising)"
2020-07-31,SHILPAMED,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.85× weekly, month 2.85×, ladder rising)"
2020-07-31,SOLARA,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.67× weekly, month 2.48×, ladder rising)"
2020-07-31,TECHM,fresh signal REFUSED — falling earnings power
2020-07-31,UCALFUEL,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.30× weekly, month 2.11×, ladder rising)"
2020-07-31,UNICHEMLAB,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.84× weekly, month 4.35×, ladder rising)"
2020-07-31,ZENSARTECH,fresh signal REFUSED — falling earnings power
2020-08-03,ADVENZYMES,"BUY ₹8.44 at ₹194.00 (fresh Friday signal — BUY: 4.31× weekly, month 2.51×, ladder rising; stop ₹149.98; charges ₹0.0100)"
2020-08-07,KIRLOSBROS,RAISE STOP ₹97.15 → ₹119.79 (new box ₹126.10–₹137.70 sealed)
2020-08-07,RCF,RAISE STOP ₹43.75 → ₹43.89 (new box ₹46.20–₹50.95 sealed)
2020-08-14,ADVENZYMES,RAISE STOP ₹149.98 → ₹194.75 (new box ₹205.00–₹224.75 sealed)
2020-08-17,EIDPARRY,"SELL ₹12.19 at stop ₹273.03 (+24.7%, charges ₹0.0126) — the cash goes back to work at the next Friday screen"
2020-08-21,AARTIDRUGS,"fresh signal NOT FUNDED — cash exhausted (BUY: 5.29× weekly, month 7.63×, ladder rising)"
2020-08-21,APTECHT,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.09× weekly, month 2.18×, ladder rising)"
2020-08-21,ASHOKLEY,fresh signal REFUSED — falling earnings power
2020-08-21,ASTEC,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.84× weekly, month 2.90×, ladder rising)"
2020-08-21,ATUL,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.78× weekly, month 1.67×, ladder rising)"
2020-08-21,BALAMINES,fresh signal REFUSED — falling earnings power
2020-08-21,BASF,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.11× weekly, month 1.63×, ladder rising)"
2020-08-21,BLS,fresh signal REFUSED — falling earnings power
2020-08-21,BRIGADE,fresh signal REFUSED — falling earnings power
2020-08-21,BSOFT,fresh signal REFUSED — falling earnings power
2020-08-21,CCL,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.83× weekly, month 1.58×, ladder rising)"
2020-08-21,COSMOFILMS,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.22× weekly, month 3.93×, ladder rising)"
2020-08-21,DBL,fresh signal REFUSED — falling earnings power
2020-08-21,EIHAHOTELS,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.89× weekly, month 4.81×, ladder rising)"
2020-08-21,ESSELPACK,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.67× weekly, month 2.55×, ladder rising)"
2020-08-21,GAEL,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.94× weekly, month 3.47×, ladder rising)"
2020-08-21,GARFIBRES,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.70× weekly, month 2.43×, ladder rising)"
2020-08-21,GNFC,fresh signal REFUSED — falling earnings power
2020-08-21,GRASIM,fresh signal REFUSED — falling earnings power
2020-08-21,HSIL,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.73× weekly, month 1.71×, ladder rising)"
2020-08-21,IBREALEST,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.81× weekly, month 1.59×, ladder rising)"
2020-08-21,INOXLEISUR,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.67× weekly, month 2.83×, ladder rising)"
2020-08-21,INSECTICID,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.40× weekly, month 3.32×, ladder rising)"
2020-08-21,IRB,fresh signal REFUSED — falling earnings power
2020-08-21,KIOCL,"fresh signal NOT FUNDED — cash exhausted (BUY: 7.39× weekly, month 5.13×, ladder rising)"
2020-08-21,KIRLOSBROS,RAISE STOP ₹119.79 → ₹120.79 (new box ₹127.15–₹147.35 sealed)
2020-08-21,KKCL,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.51× weekly, month 1.87×, ladder rising)"
2020-08-21,LUMAXTECH,fresh signal REFUSED — falling earnings power
2020-08-21,MAHABANK,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.12× weekly, month 4.49×, ladder rising)"
2020-08-21,MEGH,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.63× weekly, month 3.19×, ladder rising)"
2020-08-21,MHRIL,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 3.00× weekly, month 1.98×, ladder rising)"
2020-08-21,NATHBIOGEN,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.89× weekly, month 5.18×, ladder rising)"
2020-08-21,NIITLTD,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.47× weekly, month 2.94×, ladder rising)"
2020-08-21,NILKAMAL,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.49× weekly, month 1.70×, ladder rising)"
2020-08-21,ORIENTREF,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.65× weekly, month 1.88×, ladder rising)"
2020-08-21,PNBHOUSING,fresh signal REFUSED — falling earnings power
2020-08-21,POLYPLEX,"fresh signal NOT FUNDED — cash exhausted (BUY: 4.00× weekly, month 5.89×, ladder rising)"
2020-08-21,RCF,RAISE STOP ₹43.89 → ₹45.84 (new box ₹48.25–₹53.50 sealed)
2020-08-21,SARDAEN,fresh signal REFUSED — falling earnings power
2020-08-21,SATIA,"fresh signal NOT FUNDED — cash exhausted (BUY: 8.03× weekly, month 3.36×, ladder rising)"
2020-08-21,SEAMECLTD,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.56× weekly, month 2.18×, ladder rising)"
2020-08-21,SUNFLAG,RAISE STOP ₹30.46 → ₹36.52 (new box ₹39.20–₹48.15 sealed)
2020-08-21,TANLA,fresh signal REFUSED — falling earnings power
2020-08-21,TATACOFFEE,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.79× weekly, month 3.96×, ladder rising)"
2020-08-21,TATAPOWER,fresh signal REFUSED — falling earnings power
2020-08-21,THYROCARE,"fresh signal NOT FUNDED — cash exhausted (BUY: 7.11× weekly, month 4.47×, ladder rising)"
2020-08-21,TORNTPOWER,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.96× weekly, month 1.68×, ladder rising)"
2020-08-21,TRIVENI,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.74× weekly, month 2.23×, ladder rising)"
2020-08-21,UFLEX,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.16× weekly, month 4.11×, ladder rising)"
2020-08-21,USHAMART,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.54× weekly, month 1.67×, ladder rising)"
2020-08-21,WABAG,fresh signal REFUSED — falling earnings power
2020-08-21,WABCOINDIA,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.23× weekly, month 1.74×, ladder rising)"
2020-08-21,XCHANGING,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.54× weekly, month 5.04×, ladder rising)"
