date,symbol,event
2015-09-24,CEATLTD,"RAISE STOP ₹857.01 → ₹1,123.90 (new box ₹1,183.05–₹1,262.80 sealed)"
2015-09-28,FDC,"BUY ₹10.83 at ₹240.00 (fresh Friday signal — BUY: 5.35× weekly, month 2.52×, ladder rising; stop ₹165.06; charges ₹0.01)"
2015-10-01,GODREJPROP,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.92× weekly, month 1.55×, ladder rising)"
2015-10-01,MTEDUCARE,RAISE STOP ₹114.88 → ₹118.28 (new box ₹124.50–₹133.40 sealed)
2015-10-05,UNICHEMLAB,"BUY ₹11.18 at ₹301.50 (fresh Friday signal — ACCUMULATE: 2.13× weekly, month 2.98×, ladder rising; stop ₹233.99; charges ₹0.01)"
2015-10-09,JINDALPOLY,RAISE STOP ₹305.60 → ₹402.90 (new box ₹424.10–₹460.85 sealed)
2015-10-16,CEATLTD,"RAISE STOP ₹1,123.90 → ₹1,131.45 (new box ₹1,191.00–₹1,319.90 sealed)"
2015-10-16,ECLERX,"RAISE STOP ₹1,531.40 → ₹1,548.50 (new box ₹1,630.00–₹1,785.00 sealed)"
2015-10-16,MTEDUCARE,RAISE STOP ₹118.28 → ₹125.59 (new box ₹132.20–₹142.00 sealed)
2015-10-16,TORNTPHARM,"RAISE STOP ₹1,330.00 → ₹1,426.04 (new box ₹1,501.10–₹1,604.80 sealed)"
2015-10-23,FDC,RAISE STOP ₹165.06 → ₹232.89 (new box ₹245.15–₹274.35 sealed)
2015-10-23,JINDALPOLY,RAISE STOP ₹402.90 → ₹451.25 (new box ₹475.00–₹497.85 sealed)
2015-10-29,CEATLTD,"SELL ₹9.90 at stop ₹1,131.45 (-7.2%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-10-30,BALLARPUR,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.61× weekly, month 2.08×, ladder rising)"
2015-10-30,JINDALPOLY,RAISE STOP ₹451.25 → ₹494.38 (new box ₹520.40–₹564.85 sealed)
2015-10-30,MTEDUCARE,RAISE STOP ₹125.59 → ₹128.39 (new box ₹135.15–₹150.95 sealed)
2015-10-30,NECLIFE,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.33× weekly, month 3.48×, ladder rising)"
2015-10-30,NIITTECH,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 3.88× weekly, month 5.06×, ladder rising)"
2015-10-30,TRF,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.83× weekly, month 2.25×, ladder rising)"
2015-11-02,FDC,"SELL ₹10.49 at stop ₹232.89 (-3.0%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-11-02,UCOBANK,"BUY ₹9.90 at ₹50.30 (fresh Friday signal — BUY: 4.92× weekly, month 2.00×, ladder rising; stop ₹45.79; charges ₹0.01)"
2015-11-06,ABBOTINDIA,"SELL ₹10.63 at stop ₹5,365.17 (+1.8%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-11-06,BRFL,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.71× weekly, month 8.47×, ladder rising)"
2015-11-06,DCMSHRIRAM,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.51× weekly, month 2.06×, ladder rising)"
2015-11-06,GHCL,RAISE STOP ₹100.88 → ₹129.53 (new box ₹136.35–₹149.75 sealed)
2015-11-09,KOHINOOR,"BUY ₹10.97 at ₹45.00 (fresh Friday signal — BUY: 7.56× weekly, month 2.53×, ladder rising; stop ₹40.84; charges ₹0.01)"
2015-11-09,MTEDUCARE,"SELL ₹8.69 at stop ₹128.39 (-6.3%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-11-09,NILKAMAL,"BUY ₹10.15 at ₹970.00 (fresh Friday signal — BUY: 5.23× weekly, month 1.58×, ladder rising; stop ₹902.50; charges ₹0.01)"
