nse_symbol,status
BLS,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=7"
BLUEDART,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=8"
BLUEJET,"ok:consolidated:headline=6:cols=2;schedules=Cash from Operating Activity=7,Cash from Investing Activity=5,Cash from Financing Activity=2"
BLUESTARCO,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=9,Cash from Financing Activity=7"
BLUESTONE,"ok:consolidated:headline=6:cols=2;schedules=Cash from Operating Activity=9,Cash from Investing Activity=7,Cash from Financing Activity=6"
BORORENEW,"ok:consolidated:headline=6:cols=10;schedules=Cash from Operating Activity=6,Cash from Investing Activity=10,Cash from Financing Activity=8"
BOSCHLTD,"ok:consolidated:headline=6:cols=11;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=5"
BPCL,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=12,Cash from Financing Activity=7"
BRIGADE,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=8,Cash from Financing Activity=7"
BRITANNIA,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=9"
BSE,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=10,Cash from Financing Activity=6"
BSOFT,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=7"
CAMPUS,"ok:consolidated:headline=6:cols=6;schedules=Cash from Operating Activity=8,Cash from Investing Activity=5,Cash from Financing Activity=6"
CAMS,"ok:consolidated:headline=6:cols=9;schedules=Cash from Operating Activity=7,Cash from Investing Activity=10,Cash from Financing Activity=6"
CANBK,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=6,Cash from Financing Activity=6"
CANFINHOME,"ok:standalone:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=7,Cash from Financing Activity=8"
CANHLIFE,"ok:standalone:headline=6:cols=7;schedules=Cash from Operating Activity=3,Cash from Investing Activity=6,Cash from Financing Activity=2"
CAPILLARY,"ok:consolidated:headline=6:cols=6;schedules=Cash from Operating Activity=8,Cash from Investing Activity=6,Cash from Financing Activity=7"
CAPLIPOINT,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=9,Cash from Financing Activity=6"
CARBORUNIV,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=8"
CARTRADE,"ok:consolidated:headline=6:cols=10;schedules=Cash from Operating Activity=8,Cash from Investing Activity=9,Cash from Financing Activity=7"
CASTROLIND,"ok:standalone:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=5,Cash from Financing Activity=4"
CCAVENUE,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=10,Cash from Investing Activity=9,Cash from Financing Activity=8"
CCL,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=7,Cash from Financing Activity=7"
CDSL,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=9,Cash from Financing Activity=4"
CEATLTD,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=8,Cash from Financing Activity=8"
CELLO,"ok:consolidated:headline=6:cols=6;schedules=Cash from Operating Activity=7,Cash from Investing Activity=10,Cash from Financing Activity=7"
CEMPRO,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=7"
CENTRALBK,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=3,Cash from Financing Activity=5"
CENTURYPLY,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=6,Cash from Financing Activity=7"
CERA,"ok:consolidated:headline=6:cols=10;schedules=Cash from Operating Activity=8,Cash from Investing Activity=11,Cash from Financing Activity=7"
CESC,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=12,Cash from Financing Activity=7"
CGCL,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=10,Cash from Investing Activity=10,Cash from Financing Activity=10"
CGPOWER,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=10,Cash from Financing Activity=7"
CHALET,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=7,Cash from Financing Activity=9"
CHAMBLFERT,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=7"
CHENNPETRO,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=7,Cash from Financing Activity=6"
CHOICEIN,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=10,Cash from Investing Activity=11,Cash from Financing Activity=8"
CHOLAFIN,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=8,Cash from Financing Activity=9"
CHOLAHLDNG,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=11,Cash from Investing Activity=8,Cash from Financing Activity=10"
CIEINDIA,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=8,Cash from Financing Activity=7"
CIPLA,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=11,Cash from Financing Activity=8"
CLEAN,"ok:consolidated:headline=6:cols=9;schedules=Cash from Operating Activity=8,Cash from Investing Activity=7,Cash from Financing Activity=7"
CMSINFO,"ok:consolidated:headline=6:cols=9;schedules=Cash from Operating Activity=9,Cash from Investing Activity=7,Cash from Financing Activity=6"
COALINDIA,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=6"
COCHINSHIP,"ok:consolidated:headline=6:cols=9;schedules=Cash from Operating Activity=6,Cash from Investing Activity=9,Cash from Financing Activity=8"
COFORGE,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=10,Cash from Investing Activity=10,Cash from Financing Activity=7"
COHANCE,"ok:consolidated:headline=6:cols=8;schedules=Cash from Operating Activity=7,Cash from Investing Activity=7,Cash from Financing Activity=7"
COLPAL,"ok:consolidated:headline=6:cols=5;schedules=Cash from Operating Activity=7,Cash from Investing Activity=7,Cash from Financing Activity=5"
CONCOR,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=7"
CONCORDBIO,"ok:consolidated:headline=6:cols=7;schedules=Cash from Operating Activity=7,Cash from Investing Activity=6,Cash from Financing Activity=6"
COROMANDEL,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=7"
CORONA,"ok:consolidated:headline=6:cols=4;schedules=Cash from Operating Activity=8,Cash from Investing Activity=6,Cash from Financing Activity=5"
CPPLUS,"ok:consolidated:headline=6:cols=7;schedules=Cash from Operating Activity=9,Cash from Investing Activity=9,Cash from Financing Activity=7"
CRAFTSMAN,"ok:consolidated:headline=6:cols=10;schedules=Cash from Operating Activity=7,Cash from Investing Activity=5,Cash from Financing Activity=7"
CRAMC,"ok:standalone:headline=6:cols=7;schedules=Cash from Operating Activity=6,Cash from Investing Activity=4,Cash from Financing Activity=5"
CREDITACC,"ok:consolidated:headline=6:cols=8;schedules=Cash from Operating Activity=8,Cash from Investing Activity=7,Cash from Financing Activity=8"
CRISIL,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=8"
CRIZAC,"ok:consolidated:headline=6:cols=6;schedules=Cash from Operating Activity=6,Cash from Investing Activity=9,Cash from Financing Activity=4"
CROMPTON,"ok:consolidated:headline=6:cols=9;schedules=Cash from Operating Activity=7,Cash from Investing Activity=7,Cash from Financing Activity=8"
CSBBANK,"ok:standalone:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=4,Cash from Financing Activity=7"
