fiscal_year,industry,no_of_issues,amount_cr,coverage,source
2021-22,Telecom,2,21276.0,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Textile,7,4358.67,equity-only,"SEBI Bulletin October 2022, Table 7"
2022-23,Automobiles,1,9.41,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Banks/Fis,6,934.47,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Cement/ Constructions,16,1200.51,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Chemical,12,4085.91,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Consumer Services,2,8.7,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Electronic Equipments/ Products,12,1627.39,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Engineering,7,819.24,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Entertainment,2,62.84,equity-only,"SEBI Bulletin April 2024, Table 7"
