symbol,status,days,note
JAYBARMARU,ok,1460,
JAYSREETEA,ok,1445,
JBCHEPHARM,ok,1486,
JBFIND,ok,1313,
JBMA,ok,1421,
JCHAC,ok,873,
JETAIRWAYS,ok,1300,
JHS,ok,1074,
JINDALPHOT,ok,1176,
JINDALPOLY,ok,1476,
JINDALSAW,ok,1476,
JINDALSTEL,ok,1486,
JINDCOT,ok,1106,
JINDRILL,ok,1486,
JINDWORLD,ok,1455,
JISLDVREQS,ok,1486,
JISLJALEQS,ok,1486,
JIYAECO,ok,152,
JKCEMENT,ok,1486,
JKIL,ok,1483,
JKLAKSHMI,ok,1486,
JKPAPER,ok,1486,
JKTYRE,ok,1486,
JMCPROJECT,ok,1475,
JMFINANCIL,ok,1486,
JMTAUTOLTD,ok,1262,
JPASSOCIAT,ok,1486,
JPINFRATEC,ok,1365,
JPPOWER,ok,1486,
JSL,ok,1476,
JSLHISAR,ok,1016,
JSWENERGY,ok,1486,
JSWHL,ok,1486,
JSWSTEEL,ok,1486,
JTEKTINDIA,ok,478,
JUBILANT,ok,1486,
JUBLFOOD,ok,1486,
JUBLINDS,ok,1401,
JUMPNET,ok,152,
JUNIORBEES,ok,1486,
JUSTDIAL,ok,1486,
JVLAGRO,ok,1074,
JYOTHYLAB,ok,1486,
JYOTISTRUC,ok,924,
KABRAEXTRU,ok,1486,
KAJARIACER,ok,1486,
KAKATCEM,ok,1486,
KALINDEE,ok,688,
KALPATPOWR,ok,1486,
KAMATHOTEL,ok,1450,
KAMDHENU,ok,933,
KANORICHEM,ok,1486,
KANSAINER,ok,1486,
KARDA,ok,483,
KARURVYSYA,ok,1486,
KAYA,ok,1126,
KCP,ok,1486,
KCPSUGIND,ok,1486,
KEC,ok,1486,
KECL,ok,1413,
KEI,ok,1486,
KELLTONTEC,ok,893,
KENNAMET,ok,152,
KESARENT,ok,1131,
KESORAMIND,ok,1390,
KGL,ok,745,
KHADIM,ok,585,
KICL,ok,1485,
KILITCH,ok,1392,
KIOCL,ok,726,
KIRIINDUS,ok,1436,
KIRLOSBROS,ok,1486,
KIRLOSENG,ok,1486,
KITEX,ok,1486,
KKCL,ok,1484,
KMSUGAR,ok,1404,
KNRCON,ok,1460,
KOHINOOR,ok,1360,
KOKUYOCMLN,ok,1470,
KOLTEPATIL,ok,1486,
KOPRAN,ok,1486,
KOTAKBANK,ok,1486,
KOTAKBKETF,ok,1303,
KOTAKGOLD,ok,1486,
KOTAKNIFTY,ok,1486,
KOTARISUG,ok,1418,
KOTHARIPRO,ok,1418,
KPIT,ok,1219,
KPITTECH,ok,222,
KPRMILL,ok,1460,
KRBL,ok,1486,
KRIDHANINF,ok,915,
KSB,ok,354,
KSBPUMPS,ok,1132,
KSCL,ok,1486,
KSERASERA,ok,888,
KSK,ok,1216,
KSL,ok,1475,
KTIL,ok,1368,
KTKBANK,ok,1486,
KWALITY,ok,1397,
L&TFH,ok,1486,
LAKSHMIEFL,ok,1067,
LAKSHVILAS,ok,1486,
LALPATHLAB,ok,1049,
LAMBODHARA,ok,1266,
LAOPALA,ok,1486,
LASA,ok,352,
LAURUSLABS,ok,809,
LAXMIMACH,ok,1486,
LEEL,ok,473,
LEMONTREE,ok,488,
LGBBROSLTD,ok,1486,
LIBERTSHOE,ok,1455,
LICHSGFIN,ok,1486,
LINCOLN,ok,1053,
LINCPEN,ok,1204,
LINDEINDIA,ok,1486,
LIQUIDBEES,ok,1486,
LIQUIDETF,ok,499,
LITL,ok,917,
LLOYDELENG,ok,775,
LML,ok,984,
LOGIXMICRO,ok,253,
LOKESHMACH,ok,1470,
LOVABLE,ok,1486,
LT,ok,1486,
LTI,ok,908,
LTTS,ok,865,
LUMAXIND,ok,1486,
LUMAXTECH,ok,1486,
LUPIN,ok,1486,
LUXIND,ok,1055,
LYCOS,ok,681,
LYKALABS,ok,1416,
LYPSAGEMS,ok,1423,
M&M,ok,1486,
M&MFIN,ok,1486,
MADHUCON,ok,1428,
MADRASFERT,ok,1455,
MAGADSUGAR,ok,523,
MAGMA,ok,1486,
MAHABANK,ok,1486,
MAHASTEEL,ok,803,
MAHESHWARI,ok,235,
MAHINDCIE,ok,1486,
MAHLIFE,ok,1486,
MAHLOG,ok,587,
MAHSCOOTER,ok,1486,
MAHSEAMLES,ok,1486,
MAITHANALL,ok,1438,
MAJESCO,ok,1123,
MAKE,ok,203,
MAN50ETF,ok,309,
MANALIPETC,ok,1486,
MANAPPURAM,ok,1486,
MANDHANA,ok,952,
MANGALAM,ok,1277,
MANGCHEFER,ok,1486,
MANGLMCEM,ok,1486,
MANINDS,ok,1486,
MANINFRA,ok,1486,
MANJUSHREE,ok,247,
MANPASAND,ok,1034,
MANUGRAPH,ok,1455,
MARICO,ok,1486,
MARKSANS,ok,1486,
MARUTI,ok,1486,
MASFIN,ok,603,
MASTEK,ok,1476,
MATRIMONY,ok,621,
MAWANASUG,ok,1376,
MAX,ok,472,
MAXINDIA,ok,903,
MAXVIL,ok,918,
MAXWELL,ok,679,
MAYURUNIQ,ok,1486,
MAZDA,ok,839,
MBECL,ok,880,
MBLINFRA,ok,1338,
MCDHOLDING,ok,1413,
MCDOWELL-N,ok,1486,
MCLEODRUSS,ok,1467,
MCX,ok,1486,
MEGH,ok,1475,
MENONBE,ok,1245,
MEP,ok,1207,
MERCATOR,ok,1425,
MERCK,ok,1287,
METALFORGE,ok,1001,
METROPOLIS,ok,235,
MFSL,ok,1005,
MGL,ok,921,
MHRIL,ok,1486,
MIC,ok,1098,
MICROSEC,ok,633,
MIDHANI,ok,491,
MINDACORP,ok,1286,
MINDAIND,ok,1486,
MINDTREE,ok,1486,
MIRCELECTR,ok,1453,
MIRZAINT,ok,1486,
MMFL,ok,1486,
MMTC,ok,1486,
MOHITIND,ok,1448,
MOHOTAIND,ok,496,
MOHOTAMILL,ok,99,
MOIL,ok,1486,
MOLDTKPAC,ok,1254,
MONNETISPA,ok,1046,
MONSANTO,ok,1361,
MONTECARLO,ok,1297,
MOREPENLAB,ok,1450,
MOSERBAER,ok,956,
MOTHERSUMI,ok,1486,
MOTILALOFS,ok,1460,
MPHASIS,ok,1486,
MPSLTD,ok,1486,
MRF,ok,1486,
MRO-TEK,ok,1008,
MRPL,ok,1486,
MSTCLTD,ok,236,
MTEDUCARE,ok,1445,
MTNL,ok,1447,
MUKANDLTD,ok,1434,
MUKTAARTS,ok,1484,
MUNJALAU,ok,1486,
MUNJALSHOW,ok,1486,
MURUDCERA,ok,1377,
MUTHOOTCAP,ok,1130,
MUTHOOTFIN,ok,1486,
MYSOREBANK,ok,737,
N100,ok,1485,
NAGAFERT,ok,643,
NAGAROIL,ok,1322,
NAHARINDUS,ok,1486,
NAHARSPING,ok,1460,
NAM-INDIA,ok,47,
NATCOPHARM,ok,1460,
NATHBIOGEN,ok,1254,
NATIONALUM,ok,1486,
NAUKRI,ok,1486,
NAVINFLUOR,ok,1460,
NAVKARCORP,ok,1118,
NAVNETEDUL,ok,1486,
NBCC,ok,1486,
NBVENTURES,ok,1486,
NCC,ok,1486,
NCLIND,ok,1480,
NDL,ok,1486,
NDTV,ok,1377,
NECCLTD,ok,969,
NECLIFE,ok,1486,
NELCAST,ok,1460,
NELCO,ok,1332,
NEOGEN,ok,193,
NESCO,ok,1486,
NESTLEIND,ok,1486,
NETFMID150,ok,106,
NETWORK18,ok,1390,
NEULANDLAB,ok,1486,
NEWGEN,ok,534,
NEXTMEDIA,ok,1189,
NEYVELILIG,ok,588,
NFL,ok,1486,
NH,ok,1040,
NHPC,ok,1486,
NIACL,ok,586,
NIFTYBEES,ok,1486,
NIFTYEES,ok,655,
NIFTYIWIN,ok,419,
NIITLTD,ok,1460,
NIITTECH,ok,1486,
NILAINFRA,ok,1186,
NILKAMAL,ok,1486,
NIPPOBATRY,ok,1486,
NITCO,ok,1425,
NITESHEST,ok,1282,
NITINFIRE,ok,1208,
NITINSPIN,ok,1486,
NLCINDIA,ok,898,
NMDC,ok,1486,
NOCIL,ok,1486,
NOIDATOLL,ok,1380,
NRAIL,ok,736,
NRBBEARING,ok,1486,
NTPC,ok,1486,
NUCLEUS,ok,1486,
OBEROIRLTY,ok,1486,
OCCL,ok,1024,
OCL,ok,1134,
OFSS,ok,1486,
OIL,ok,1486,
OILCOUNTUB,ok,1421,
OISL,ok,1093,
OLECTRA,ok,359,
OMAXAUTO,ok,1346,
OMAXE,ok,1486,
OMKARCHEM,ok,1343,
OMMETALS,ok,1486,
ONELIFECAP,ok,1204,
ONGC,ok,1486,
ONMOBILE,ok,1486,
ONWARDTEC,ok,1433,
OPTIEMUS,ok,437,
OPTOCIRCUI,ok,1377,
ORBITCORP,ok,713,
ORBTEXP,ok,1486,
ORCHIDCHEM,ok,435,
ORCHIDPHAR,ok,435,
ORICONENT,ok,1151,
ORIENTABRA,ok,1486,
ORIENTBANK,ok,1479,
ORIENTBELL,ok,1449,
