horizon,signal,hit_rate_pct,nse_symbol,industry,base_year_T,fy_label,stock_price_at_T,forward_cagr_pct,met_target
5y,FA & Reserves both > 20% YoY for 3 yrs,63.6,DMART,CONSUMER GOODS,2018,Mar 2018,1324.8,20.8,Y
5y,FA & Reserves both > 20% YoY for 3 yrs,63.6,BAJFINANCE,FINANCIAL SERVICES,2019,Mar 2019,299.58,19.3,N
5y,FA & Reserves both > 20% YoY for 3 yrs,63.6,DMART,CONSUMER GOODS,2020,Mar 2020,2187.5,13.3,N
5y,FA & Reserves both > 20% YoY for 3 yrs,63.6,AFFLE,,2021,Mar 2021,1091.56,5.8,N
5y,FA & Reserves both > 20% YoY for 3 yrs,63.6,AJANTPHARM,PHARMA,2018,Mar 2018,926.9,5.5,N
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.3,60.0,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,79.1,Y
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.3,60.0,DMART,CONSUMER GOODS,2019,Mar 2019,1472.5,25.2,Y
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.3,60.0,DMART,CONSUMER GOODS,2018,Mar 2018,1324.8,20.8,Y
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.3,60.0,DMART,CONSUMER GOODS,2020,Mar 2020,2187.5,13.3,N
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.3,60.0,AJANTPHARM,PHARMA,2018,Mar 2018,926.9,5.5,N
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.5,62.5,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,79.1,Y
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.5,62.5,DMART,CONSUMER GOODS,2019,Mar 2019,1472.5,25.2,Y
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.5,62.5,UNOMINDA,,2018,Mar 2018,176.88,22.1,Y
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.5,62.5,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,21.4,Y
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.5,62.5,DMART,CONSUMER GOODS,2018,Mar 2018,1324.8,20.8,Y
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.5,62.5,DMART,CONSUMER GOODS,2020,Mar 2020,2187.5,13.3,N
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.5,62.5,AFFLE,,2021,Mar 2021,1091.56,5.8,N
5y,FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.5,62.5,AJANTPHARM,PHARMA,2018,Mar 2018,926.9,5.5,N
5y,FA > 20% YoY for 4 yrs,64.3,GRAVITA,,2020,Mar 2020,33.45,122.7,Y
5y,FA > 20% YoY for 4 yrs,64.3,BRIGADE,CONSTRUCTION,2020,Mar 2020,130.15,49.6,Y
5y,FA > 20% YoY for 4 yrs,64.3,UNOMINDA,,2020,Mar 2020,119.6,48.9,Y
5y,FA > 20% YoY for 4 yrs,64.3,PRESTIGE,CONSTRUCTION,2020,Mar 2020,168.2,47.8,Y
5y,FA > 20% YoY for 4 yrs,64.3,UNOMINDA,,2019,Mar 2019,167.11,32.6,Y
5y,FA > 20% YoY for 4 yrs,64.3,BAJFINANCE,FINANCIAL SERVICES,2020,Mar 2020,221.58,32.2,Y
5y,FA > 20% YoY for 4 yrs,64.3,HCLTECH,IT,2020,Mar 2020,436.4,29.6,Y
