cagr_threshold_pct,signal,horizon,nse_symbol,industry,base_year,stock_price_at_base,forward_cagr_pct,met_target
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,ASAHIINDIA,,2018,332.0,8.9,N
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,HEG,INDUSTRIAL MANUFACTURING,2019,423.78,3.6,N
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,NATCOPHARM,PHARMA,2018,753.65,0.8,N
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,ZEEL,MEDIA & ENTERTAINMENT,2018,575.5,-22.3,N
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,DIXON,CONSUMER GOODS,2019,472.8,53.9,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,DIXON,CONSUMER GOODS,2018,658.21,53.4,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,NEULANDLAB,,2019,615.3,52.9,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,BLS,,2018,29.01,45.4,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,NEWGEN,,2018,115.9,36.0,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,AMBER,,2019,805.15,34.9,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,BLS,,2019,28.96,34.9,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,SAREGAMA,,2018,63.73,34.7,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,AMBER,,2018,1069.4,31.3,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,SAREGAMA,,2019,56.17,28.2,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,UNOMINDA,,2018,176.88,25.7,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,PIIND,FERTILISERS & PESTICIDES,2018,885.2,21.3,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,OLECTRA,,2019,253.45,21.1,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,CAPLIPOINT,PHARMA,2019,400.75,20.8,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,EICHERMOT,AUTOMOBILE,2019,2089.9,17.8,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,HAVELLS,CONSUMER GOODS,2018,487.85,17.7,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,AEGISLOG,,2018,259.6,17.6,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,DMART,CONSUMER GOODS,2018,1324.8,17.4,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,AEGISLOG,,2019,200.7,16.9,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,AJANTPHARM,PHARMA,2018,926.9,16.0,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,DMART,CONSUMER GOODS,2019,1472.5,15.2,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,ATUL,CHEMICALS,2018,2613.4,13.0,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,AUROPHARMA,PHARMA,2018,557.85,11.0,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,ERIS,PHARMA,2019,639.85,10.6,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,BRITANNIA,CONSUMER GOODS,2018,2485.3,10.3,Y
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,ERIS,PHARMA,2018,799.75,8.5,N
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,BRITANNIA,CONSUMER GOODS,2019,3096.55,8.3,N
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,NATCOPHARM,PHARMA,2019,566.0,8.1,N
10,Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,ZYDUSWELL,CONSUMER GOODS,2019,260.22,7.3,N
