nse_symbol,market_cap_rs_cr,current_price_rs,stock_pe,fetched_at,status
HEXT,34318.0,562.0,24.2,2026-08-02T12:14:21Z,ok
HFCL,29681.0,194.0,51.8,2026-08-02T12:14:21Z,ok
HSCL,37875.0,751.0,47.4,2026-08-02T12:14:21Z,ok
HINDALCO,218981.0,974.0,13.0,2026-08-02T12:14:21Z,ok
HAL,310746.0,4646.0,34.1,2026-08-02T12:14:21Z,ok
HINDCOPPER,47539.0,492.0,48.1,2026-08-02T12:14:21Z,ok
HINDPETRO,82932.0,390.0,49.6,2026-08-02T12:14:21Z,ok
HINDUNILVR,493720.0,2101.0,44.8,2026-08-02T12:14:21Z,ok
HINDZINC,227829.0,539.0,13.4,2026-08-02T12:14:21Z,ok
POWERINDIA,143412.0,32175.0,139.0,2026-08-02T12:14:21Z,ok
HOMEFIRST,12429.0,1189.0,21.4,2026-08-02T12:14:21Z,ok
HONASA,14656.0,450.0,72.0,2026-08-02T12:14:21Z,ok
HONAUT,33729.0,38155.0,60.3,2026-08-02T12:14:21Z,ok
HUDCO,39057.0,195.0,9.18,2026-08-02T12:14:21Z,ok
HYUNDAI,177191.0,2181.0,35.8,2026-08-02T12:14:21Z,ok
IRCTC,39184.0,490.0,28.4,2026-08-02T12:14:21Z,ok
IRFC,116506.0,89.2,16.2,2026-08-02T12:14:21Z,ok
ICICIAMC,154006.0,3116.0,52.4,2026-08-02T12:14:21Z,ok
ICICIBANK,1029986.0,1435.0,18.4,2026-08-02T12:14:21Z,ok
ICICIGI,81081.0,1624.0,33.4,2026-08-02T12:14:21Z,ok
ICICIPRULI,74774.0,515.0,46.5,2026-08-02T12:14:21Z,ok
IDBI,90051.0,83.8,9.66,2026-08-02T12:14:21Z,ok
IDFCFIRSTB,72968.0,84.7,31.7,2026-08-02T12:14:21Z,ok
IFCI,20622.0,76.5,112.0,2026-08-02T12:14:21Z,ok
IIFL,25891.0,609.0,12.3,2026-08-02T12:14:21Z,ok
IRB,24156.0,20.0,24.6,2026-08-02T12:14:21Z,ok
IRCON,11850.0,126.0,19.9,2026-08-02T12:14:21Z,ok
ITCHOTELS,33821.0,162.0,36.7,2026-08-02T12:14:21Z,ok
ITC,352078.0,281.0,17.8,2026-08-02T12:14:21Z,ok
ITI,26651.0,277.0,,2026-08-02T12:14:21Z,ok
INDGN,12411.0,515.0,29.8,2026-08-02T12:14:21Z,ok
INDIACEM,12334.0,398.0,91.4,2026-08-02T12:14:21Z,ok
INDIAMART,10825.0,1800.0,21.9,2026-08-02T12:14:21Z,ok
INDIANB,112674.0,836.0,8.81,2026-08-02T12:14:21Z,ok
IEX,11792.0,132.0,23.3,2026-08-02T12:14:21Z,ok
INDHOTEL,105128.0,739.0,54.1,2026-08-02T12:14:21Z,ok
IOC,197937.0,140.0,5.88,2026-08-02T12:14:21Z,ok
IOB,65280.0,33.9,11.0,2026-08-02T12:14:21Z,ok
IREDA,33596.0,120.0,17.9,2026-08-02T12:14:21Z,ok
IGL,21277.0,152.0,13.7,2026-08-02T12:14:21Z,ok
INDUSTOWER,103179.0,391.0,14.4,2026-08-02T12:14:21Z,ok
INDUSINDBK,78883.0,1012.0,59.7,2026-08-02T12:14:21Z,ok
NAUKRI,79513.0,1226.0,55.9,2026-08-02T12:14:21Z,ok
INFY,458547.0,1130.0,14.7,2026-08-02T12:14:21Z,ok
INOXWIND,13504.0,78.1,33.3,2026-08-02T12:14:21Z,ok
INTELLECT,10098.0,720.0,27.3,2026-08-02T12:14:21Z,ok
INDIGO,199945.0,5171.0,,2026-08-02T12:14:21Z,ok
IGIL,15275.0,353.0,25.0,2026-08-02T12:14:21Z,ok
IKS,31739.0,1849.0,44.0,2026-08-02T12:14:21Z,ok
IPCALAB,44342.0,1748.0,37.6,2026-08-02T12:14:21Z,ok
JBCHEPHARM,38677.0,2409.0,53.8,2026-08-02T12:14:21Z,ok
JKCEMENT,42065.0,5444.0,43.1,2026-08-02T12:14:21Z,ok
JBMA,15570.0,658.0,67.7,2026-08-02T12:14:21Z,ok
JKTYRE,11524.0,400.0,13.0,2026-08-02T12:14:21Z,ok
JMFINANCIL,11690.0,122.0,9.6,2026-08-02T12:14:21Z,ok
JPPOWER,12535.0,18.3,15.0,2026-08-02T12:14:21Z,ok
JSWCEMENT,18146.0,133.0,27.8,2026-08-02T12:14:21Z,ok
JSWDULUX,13383.0,2939.0,37.1,2026-08-02T12:14:21Z,ok
JSWENERGY,101694.0,555.0,50.7,2026-08-02T12:14:21Z,ok
JSWINFRA,72789.0,312.0,47.0,2026-08-02T12:14:21Z,ok
JSWSTEEL,310573.0,1270.0,25.8,2026-08-02T12:14:21Z,ok
JAINREC,12016.0,348.0,34.1,2026-08-02T12:14:21Z,ok
J&KBANK,17178.0,156.0,7.46,2026-08-02T12:14:21Z,ok
JINDALSAW,16432.0,257.0,25.2,2026-08-02T12:14:21Z,ok
JSL,60578.0,735.0,18.7,2026-08-02T12:14:21Z,ok
JINDALSTEL,112455.0,1102.0,36.4,2026-08-02T12:14:21Z,ok
JIOFIN,169344.0,256.0,82.0,2026-08-02T12:14:21Z,ok
JUBLFOOD,28918.0,438.0,69.6,2026-08-02T12:14:21Z,ok
JUBLINGREA,11718.0,736.0,36.8,2026-08-02T12:14:21Z,ok
JUBLPHARMA,14897.0,935.0,34.1,2026-08-02T12:14:21Z,ok
JWL,11077.0,259.0,60.5,2026-08-02T12:14:21Z,ok
JYOTICNC,18391.0,809.0,54.7,2026-08-02T12:14:21Z,ok
KPRMILL,35884.0,1050.0,42.7,2026-08-02T12:14:21Z,ok
KEI,47791.0,4999.0,52.0,2026-08-02T12:14:21Z,ok
KFINTECH,16210.0,938.0,46.3,2026-08-02T12:14:21Z,ok
KPITTECH,16405.0,598.0,26.3,2026-08-02T12:14:21Z,ok
KAJARIACER,18830.0,1198.0,32.7,2026-08-02T12:14:21Z,ok
KPIL,22023.0,1290.0,22.5,2026-08-02T12:14:21Z,ok
KALYANKJIL,63266.0,613.0,45.9,2026-08-02T12:14:21Z,ok
KARURVYSYA,33100.0,342.0,12.1,2026-08-02T12:14:21Z,ok
KAYNES,25504.0,3805.0,69.7,2026-08-02T12:14:21Z,ok
KEC,12483.0,469.0,19.1,2026-08-02T12:14:21Z,ok
KIRLOSENG,31863.0,2190.0,54.3,2026-08-02T12:14:21Z,ok
KOTAKBANK,388246.0,390.0,19.4,2026-08-02T12:14:21Z,ok
KIMS,33798.0,805.0,136.0,2026-08-02T12:14:21Z,ok
LTFOODS,14250.0,410.0,22.2,2026-08-02T12:14:21Z,ok
LTF,78001.0,311.0,24.4,2026-08-02T12:14:21Z,ok
LTTS,37715.0,3555.0,28.1,2026-08-02T12:14:21Z,ok
LGEINDIA,101171.0,1490.0,60.0,2026-08-02T12:14:21Z,ok
LICHSGFIN,28774.0,523.0,5.01,2026-08-02T12:14:21Z,ok
LTM,129389.0,4362.0,23.1,2026-08-02T12:14:21Z,ok
LT,541940.0,3939.0,30.8,2026-08-02T12:14:21Z,ok
LATENTVIEW,6543.0,316.0,33.5,2026-08-02T12:14:21Z,ok
LAURUSLABS,98132.0,1816.0,89.8,2026-08-02T12:14:21Z,ok
THELEELA,16518.0,495.0,36.8,2026-08-02T12:14:21Z,ok
