nse_symbol,year,metric,value
ACC,Mar 2026,Face Value (Rs),10.0
ACC,Mar 2015,Shares Outstanding,
ACC,Mar 2016,Shares Outstanding,
ACC,Mar 2017,Shares Outstanding,
ACC,Mar 2018,Shares Outstanding,
ACC,Mar 2019,Shares Outstanding,
ACC,Mar 2020,Shares Outstanding,
ACC,Mar 2021,Shares Outstanding,
ACC,Mar 2022,Shares Outstanding,
ACC,Mar 2023,Shares Outstanding,188000000.0
ACC,Mar 2024,Shares Outstanding,188000000.0
ACC,Mar 2025,Shares Outstanding,188000000.0
ACC,Mar 2026,Shares Outstanding,188000000.0
ACC,Mar 2015,Market Cap (Rs Cr),
ACC,Mar 2016,Market Cap (Rs Cr),
ACC,Mar 2017,Market Cap (Rs Cr),
ACC,Mar 2018,Market Cap (Rs Cr),
ACC,Mar 2019,Market Cap (Rs Cr),
ACC,Mar 2020,Market Cap (Rs Cr),
ACC,Mar 2021,Market Cap (Rs Cr),
ACC,Mar 2022,Market Cap (Rs Cr),
ACC,Mar 2023,Market Cap (Rs Cr),31343.36
ACC,Mar 2024,Market Cap (Rs Cr),46843.96
ACC,Mar 2025,Market Cap (Rs Cr),36521.82
ACC,Mar 2026,Market Cap (Rs Cr),23586.48
ACC,Mar 2015,P/E ratio,
ACC,Mar 2016,P/E ratio,
ACC,Mar 2017,P/E ratio,
ACC,Mar 2018,P/E ratio,
ACC,Mar 2019,P/E ratio,
ACC,Mar 2020,P/E ratio,
ACC,Mar 2021,P/E ratio,
ACC,Mar 2022,P/E ratio,
ACC,Mar 2023,P/E ratio,
ACC,Mar 2024,P/E ratio,52.87
ACC,Mar 2025,P/E ratio,15.61
ACC,Mar 2026,P/E ratio,9.81
ACMESOLAR,Mar 2015,Stock Price (Rs),
ACMESOLAR,Mar 2016,Stock Price (Rs),
ACMESOLAR,Mar 2017,Stock Price (Rs),
ACMESOLAR,Mar 2018,Stock Price (Rs),
ACMESOLAR,Mar 2019,Stock Price (Rs),
ACMESOLAR,Mar 2020,Stock Price (Rs),
ACMESOLAR,Mar 2021,Stock Price (Rs),
ACMESOLAR,Mar 2022,Stock Price (Rs),
ACMESOLAR,Mar 2023,Stock Price (Rs),
ACMESOLAR,Mar 2024,Stock Price (Rs),
ACMESOLAR,Mar 2025,Stock Price (Rs),191.98
ACMESOLAR,Mar 2026,Stock Price (Rs),261.61
ACMESOLAR,Mar 2015,EPS in Rs,
ACMESOLAR,Mar 2016,EPS in Rs,
ACMESOLAR,Mar 2017,EPS in Rs,
ACMESOLAR,Mar 2018,EPS in Rs,
ACMESOLAR,Mar 2019,EPS in Rs,
ACMESOLAR,Mar 2020,EPS in Rs,8.2
ACMESOLAR,Mar 2021,EPS in Rs,1.46
ACMESOLAR,Mar 2022,EPS in Rs,5.94
ACMESOLAR,Mar 2023,EPS in Rs,-0.3
ACMESOLAR,Mar 2024,EPS in Rs,66.81
ACMESOLAR,Mar 2025,EPS in Rs,4.17
ACMESOLAR,Mar 2026,EPS in Rs,8.23
ACMESOLAR,Mar 2015,Equity Capital (Rs Cr),
ACMESOLAR,Mar 2016,Equity Capital (Rs Cr),
ACMESOLAR,Mar 2017,Equity Capital (Rs Cr),
ACMESOLAR,Mar 2018,Equity Capital (Rs Cr),
ACMESOLAR,Mar 2019,Equity Capital (Rs Cr),
ACMESOLAR,Mar 2020,Equity Capital (Rs Cr),104.0
ACMESOLAR,Mar 2021,Equity Capital (Rs Cr),104.0
ACMESOLAR,Mar 2022,Equity Capital (Rs Cr),104.0
ACMESOLAR,Mar 2023,Equity Capital (Rs Cr),104.0
ACMESOLAR,Mar 2024,Equity Capital (Rs Cr),104.0
ACMESOLAR,Mar 2025,Equity Capital (Rs Cr),121.0
ACMESOLAR,Mar 2026,Equity Capital (Rs Cr),121.0
ACMESOLAR,Mar 2015,Face Value (Rs),2.0
ACMESOLAR,Mar 2016,Face Value (Rs),2.0
ACMESOLAR,Mar 2017,Face Value (Rs),2.0
ACMESOLAR,Mar 2018,Face Value (Rs),2.0
ACMESOLAR,Mar 2019,Face Value (Rs),2.0
ACMESOLAR,Mar 2020,Face Value (Rs),2.0
ACMESOLAR,Mar 2021,Face Value (Rs),2.0
ACMESOLAR,Mar 2022,Face Value (Rs),2.0
ACMESOLAR,Mar 2023,Face Value (Rs),2.0
