rank,nse_symbol,company_name,industry,market_cap_rs_cr,current_price_rs,stock_pe,as_of,series,isin
157,DIXON,Dixon Technologies (India) Ltd.,CONSUMER GOODS,69546.0,11385.0,48.3,Live (2026-06-04),EQ,INE935N01012
158,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,69246.0,477.0,43.1,Live (2026-06-04),EQ,INE726G01019
159,GICRE,General Insurance Corporation of India,FINANCIAL SERVICES,68027.0,388.0,7.04,Live (2026-06-04),EQ,INE481Y01014
160,PAYTM,One 97,,67767.0,1058.0,92.9,Live (2026-06-04),EQ,
161,BIOCON,Biocon Ltd.,PHARMA,67268.0,415.0,173.0,Live (2026-06-04),EQ,INE376G01013
162,LTF,L&T Finance Ltd,,67210.0,268.0,22.4,Live (2026-06-04),EQ,
163,NAUKRI,Info Edge (India) Ltd.,IT,65247.0,1006.0,45.8,Live (2026-06-04),EQ,INE663F01024
164,BANKINDIA,Bank of India,FINANCIAL SERVICES,63828.0,140.0,6.06,Live (2026-06-04),EQ,INE084A01016
165,IOB,Indian Overseas Bank ,FINANCIAL SERVICES,63470.0,33.0,11.7,Live (2026-06-04),EQ,INE565A01014
166,ALKEM,Alkem Laboratories Ltd.,PHARMA,63280.0,5292.0,26.0,Live (2026-06-04),EQ,INE540L01014
167,UNOMINDA,Uno Minda,,63048.0,1092.0,51.8,Live (2026-06-04),EQ,
168,SCHAEFFLER,Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,62801.0,4018.0,51.7,Live (2026-06-04),EQ,INE513A01014
169,IDFCFIRSTB,IDFC First Bank Ltd.,FINANCIAL SERVICES,62550.0,72.6,38.9,Live (2026-06-04),EQ,INE092T01019
170,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMA,62169.0,2203.0,21.1,Live (2026-06-04),EQ,INE935A01035
171,PHOENIXLTD,Phoenix Mills Ltd.,CONSTRUCTION,61714.0,1726.0,49.7,Live (2026-06-04),EQ,INE211B01039
172,COFORGE,Coforge,,61275.0,1425.0,37.3,Live (2026-06-04),EQ,
173,MAHABANK,Bank of Maharashtra.,FINANCIAL SERVICES,61248.0,79.6,8.75,Live (2026-06-04),EQ,INE457A01014
174,LINDEINDIA,Linde India Ltd.,CHEMICALS,60564.0,7102.0,110.0,Live (2026-06-04),EQ,INE473A01011
175,TIINDIA,Tube Investments of India Ltd.,AUTOMOBILE,60486.0,3125.0,91.8,Live (2026-06-04),EQ,INE974X01010
176,OBEROIRLTY,Oberoi Realty Ltd.,CONSTRUCTION,59485.0,1636.0,23.6,Live (2026-06-04),EQ,INE093I01010
177,THERMAX,Thermax Ltd.,INDUSTRIAL MANUFACTURING,59114.0,4961.0,87.4,Live (2026-06-04),EQ,INE152A01029
178,PRESTIGE,Prestige Estates Projects Ltd.,CONSTRUCTION,58446.0,1357.0,48.9,Live (2026-06-04),EQ,INE811K01011
179,BERGEPAINT,Berger Paints India Ltd.,CONSUMER GOODS,57851.0,496.0,49.6,Live (2026-06-04),EQ,INE463A01038
180,JSWINFRA,JSW Infrast,,57141.0,272.0,35.9,Live (2026-06-04),EQ,
181,FACT,F A C T,,57114.0,883.0,3856.0,Live (2026-06-04),EQ,
182,SBICARD,SBI Cards,,56378.0,592.0,26.0,Live (2026-06-04),EQ,
183,JSL,Jindal Stainless Ltd.,METALS,55999.0,679.0,17.3,Live (2026-06-04),EQ,INE220G01021
184,TATACOMM,Tata Comm,,55930.0,1962.0,50.8,Live (2026-06-04),EQ,
185,ABBOTINDIA,Abbott India,,55888.0,26300.0,36.0,Live (2026-06-04),EQ,
186,APARINDS,Apar Inds.,,55420.0,13795.0,55.4,Live (2026-06-04),EQ,
187,VMM,Vishal Mega Mart,,55181.0,118.0,65.7,Live (2026-06-04),EQ,
188,COLPAL,Colgate Palmolive (India) Ltd.,CONSUMER GOODS,55132.0,2027.0,128.0,Live (2026-06-04),EQ,INE259A01022
189,UPL,UPL Ltd.,FERTILISERS & PESTICIDES,54407.0,645.0,28.8,Live (2026-06-04),EQ,INE628A01036
190,MFSL,Max Financial Services Ltd.,FINANCIAL SERVICES,54406.0,1576.0,655.0,Live (2026-06-04),EQ,INE180A01020
191,HDBFS,HDB FINANC SER,,53739.0,647.0,24.7,Live (2026-06-04),EQ,
192,MRF,MRF Ltd.,AUTOMOBILE,53205.0,125450.0,21.5,Live (2026-06-04),EQ,INE883A01011
193,HINDCOPPER,Hindustan Copper Ltd.,METALS,52330.0,541.0,53.0,Live (2026-06-04),EQ,INE531E01026
194,MOTILALOFS,Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,52062.0,865.0,27.9,Live (2026-06-04),EQ,INE338I01027
195,COROMANDEL,Coromandel International Ltd.,FERTILISERS & PESTICIDES,51729.0,1753.0,25.8,Live (2026-06-04),EQ,INE169A01031
196,GODREJPROP,Godrej Properties Ltd.,CONSTRUCTION,51451.0,1708.0,27.6,Live (2026-06-04),EQ,INE484J01027
197,KEI,KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,51218.0,5358.0,55.8,Live (2026-06-04),EQ,INE878B01027
198,RVNL,Rail Vikas,,50040.0,240.0,57.2,Live (2026-06-04),EQ,
199,APLAPOLLO,APL Apollo Tubes Ltd.,METALS,50028.0,1802.0,41.6,Live (2026-06-04),EQ,INE702C01019
200,PREMIERENE,Premier Energies,,49183.0,1083.0,32.6,Live (2026-06-04),EQ,
201,PATANJALI,Patanjali Foods,,48089.0,442.0,23.9,Live (2026-06-04),EQ,
202,NLCINDIA,NLC India Ltd.,ENERGY,47444.0,342.0,13.5,Live (2026-06-04),EQ,INE589A01014
203,RADICO,Radico Khaitan Ltd,CONSUMER GOODS,47136.0,3519.0,76.4,Live (2026-06-04),EQ,INE944F01028
204,SUNDARMFIN,Sundaram Finance Ltd.,FINANCIAL SERVICES,46076.0,4147.0,21.8,Live (2026-06-04),EQ,INE660A01013
205,SUPREMEIND,Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,45895.0,3613.0,49.2,Live (2026-06-04),EQ,INE195A01028
206,BDL,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,45032.0,1228.0,107.0,Live (2026-06-04),EQ,INE171Z01018
207,PIRAMALFIN,Piramal Finance.,,43786.0,1932.0,168.0,Live (2026-06-04),EQ,
208,MPHASIS,MphasiS Ltd.,IT,43731.0,2291.0,23.1,Live (2026-06-04),EQ,INE356A01018
209,360ONE,360 ONE,,43433.0,1069.0,35.7,Live (2026-06-04),EQ,
210,VOLTAS,Voltas Ltd.,CONSUMER GOODS,42802.0,1294.0,109.0,Live (2026-06-04),EQ,INE226A01021
211,AIAENG,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,42665.0,4572.0,33.5,Live (2026-06-04),EQ,INE212H01026
212,BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE,42525.0,2200.0,34.2,Live (2026-06-04),EQ,INE787D01026
213,PAGEIND,Page Industries Ltd.,TEXTILES,42303.0,37926.0,53.6,Live (2026-06-04),EQ,INE761H01022
214,ANTHEM,Anthem Bioscienc,,42248.0,750.0,69.4,Live (2026-06-04),EQ,
215,IRCTC,I R C T C,,41952.0,524.0,30.3,Live (2026-06-04),EQ,
216,HUDCO,Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,41359.0,207.0,10.2,Live (2026-06-04),EQ,INE031A01017
217,PIIND,PI Industries Ltd.,FERTILISERS & PESTICIDES,41353.0,2726.0,33.3,Live (2026-06-04),EQ,INE603J01030
218,ASTRAL,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,41310.0,1538.0,74.9,Live (2026-06-04),EQ,INE006I01046
219,PETRONET,Petronet LNG Ltd.,ENERGY,40815.0,272.0,10.4,Live (2026-06-04),EQ,INE347G01014
