nse_symbol,year,line_item,parent_line_item,value
3MINDIA,Mar 2018,Dividend Payout %,,0.0
3MINDIA,Mar 2019,Dividend Payout %,,0.0
3MINDIA,Mar 2020,Dividend Payout %,,0.0
3MINDIA,Mar 2021,Dividend Payout %,,0.0
3MINDIA,Mar 2022,Dividend Payout %,,0.0
3MINDIA,Mar 2023,Dividend Payout %,,237.0
3MINDIA,Mar 2024,Dividend Payout %,,132.0
3MINDIA,Mar 2018,Sales Growth %,Sales,
3MINDIA,Mar 2019,Sales Growth %,Sales,11.33
3MINDIA,Mar 2020,Sales Growth %,Sales,-1.0
3MINDIA,Mar 2021,Sales Growth %,Sales,-12.78
3MINDIA,Mar 2022,Sales Growth %,Sales,28.06
3MINDIA,Mar 2023,Sales Growth %,Sales,18.69
3MINDIA,Mar 2024,Sales Growth %,Sales,5.81
3MINDIA,Mar 2018,Material Cost %,Expenses,52.0
3MINDIA,Mar 2019,Material Cost %,Expenses,53.0
3MINDIA,Mar 2020,Material Cost %,Expenses,58.0
3MINDIA,Mar 2021,Material Cost %,Expenses,61.0
3MINDIA,Mar 2022,Material Cost %,Expenses,63.0
3MINDIA,Mar 2023,Material Cost %,Expenses,62.0
3MINDIA,Mar 2024,Material Cost %,Expenses,60.0
3MINDIA,Mar 2018,Manufacturing Cost %,Expenses,1.0
3MINDIA,Mar 2019,Manufacturing Cost %,Expenses,1.0
3MINDIA,Mar 2020,Manufacturing Cost %,Expenses,2.0
3MINDIA,Mar 2021,Manufacturing Cost %,Expenses,2.0
3MINDIA,Mar 2022,Manufacturing Cost %,Expenses,1.0
3MINDIA,Mar 2023,Manufacturing Cost %,Expenses,1.0
3MINDIA,Mar 2024,Manufacturing Cost %,Expenses,1.0
3MINDIA,Mar 2018,Employee Cost %,Expenses,13.0
3MINDIA,Mar 2019,Employee Cost %,Expenses,11.0
3MINDIA,Mar 2020,Employee Cost %,Expenses,11.0
3MINDIA,Mar 2021,Employee Cost %,Expenses,14.0
3MINDIA,Mar 2022,Employee Cost %,Expenses,12.0
3MINDIA,Mar 2023,Employee Cost %,Expenses,10.0
3MINDIA,Mar 2024,Employee Cost %,Expenses,9.0
3MINDIA,Mar 2018,Other Cost %,Expenses,15.0
3MINDIA,Mar 2019,Other Cost %,Expenses,17.0
3MINDIA,Mar 2020,Other Cost %,Expenses,14.0
3MINDIA,Mar 2021,Other Cost %,Expenses,13.0
3MINDIA,Mar 2022,Other Cost %,Expenses,13.0
3MINDIA,Mar 2023,Other Cost %,Expenses,11.0
3MINDIA,Mar 2024,Other Cost %,Expenses,11.0
3MINDIA,Mar 2018,Exceptional items,Other Income,-0.0
3MINDIA,Mar 2019,Exceptional items,Other Income,0.0
3MINDIA,Mar 2020,Exceptional items,Other Income,-0.0
3MINDIA,Mar 2021,Exceptional items,Other Income,2.0
3MINDIA,Mar 2022,Exceptional items,Other Income,2.0
3MINDIA,Mar 2023,Exceptional items,Other Income,0.0
3MINDIA,Mar 2024,Exceptional items,Other Income,1.0
3MINDIA,Mar 2018,Other income normal,Other Income,55.0
3MINDIA,Mar 2019,Other income normal,Other Income,59.0
3MINDIA,Mar 2020,Other income normal,Other Income,46.0
3MINDIA,Mar 2021,Other income normal,Other Income,23.0
3MINDIA,Mar 2022,Other income normal,Other Income,36.0
3MINDIA,Mar 2023,Other income normal,Other Income,68.0
3MINDIA,Mar 2024,Other income normal,Other Income,78.0
3MINDIA,Mar 2018,Exceptional items AT,Net Profit,-0.0
3MINDIA,Mar 2019,Exceptional items AT,Net Profit,0.0
3MINDIA,Mar 2020,Exceptional items AT,Net Profit,-0.0
3MINDIA,Mar 2021,Exceptional items AT,Net Profit,1.0
3MINDIA,Mar 2022,Exceptional items AT,Net Profit,1.0
3MINDIA,Mar 2023,Exceptional items AT,Net Profit,0.0
3MINDIA,Mar 2024,Exceptional items AT,Net Profit,1.0
3MINDIA,Mar 2018,Profit excl Excep,Net Profit,333.0
3MINDIA,Mar 2019,Profit excl Excep,Net Profit,366.0
3MINDIA,Mar 2020,Profit excl Excep,Net Profit,322.0
3MINDIA,Mar 2021,Profit excl Excep,Net Profit,161.0
3MINDIA,Mar 2022,Profit excl Excep,Net Profit,271.0
3MINDIA,Mar 2023,Profit excl Excep,Net Profit,451.0
3MINDIA,Mar 2024,Profit excl Excep,Net Profit,583.0
3MINDIA,Mar 2018,Profit for PE,Net Profit,333.0
3MINDIA,Mar 2019,Profit for PE,Net Profit,366.0
3MINDIA,Mar 2020,Profit for PE,Net Profit,322.0
3MINDIA,Mar 2021,Profit for PE,Net Profit,161.0
3MINDIA,Mar 2022,Profit for PE,Net Profit,271.0
3MINDIA,Mar 2023,Profit for PE,Net Profit,451.0
