nse_symbol,isin_source,name_source
ICICIAMC,groww_master,nifty500_master
ICICIBANK,groww_master,nifty500_master
ICICIGI,groww_master,nifty500_master
ICICIPRULI,groww_master,nifty500_master
ICIL,groww_master,groww_master
IDBI,groww_master,nifty500_master
IDEA,groww_master,nifty500_master
IDFCFIRSTB,groww_master,nifty500_master
IEX,groww_master,nifty500_master
IFBIND,groww_master,groww_master
IFCI,groww_master,nifty500_master
IGIL,groww_master,nifty500_master
IGL,groww_master,nifty500_master
IIFL,groww_master,nifty500_master
IIFLCAPS,groww_master,groww_master
IKS,groww_master,nifty500_master
IMFA,groww_master,groww_master
INDGN,groww_master,nifty500_master
INDHOTEL,groww_master,nifty500_master
INDIACEM,groww_master,nifty500_master
INDIAGLYCO,groww_master,groww_master
INDIAMART,groww_master,nifty500_master
INDIANB,groww_master,nifty500_master
INDIASHLTR,groww_master,groww_master
INDIGO,groww_master,nifty500_master
INDIGOPNTS,groww_master,groww_master
INDUSINDBK,groww_master,nifty500_master
INDUSTOWER,groww_master,nifty500_master
INFY,groww_master,nifty500_master
INOXGREEN,groww_master,groww_master
INOXINDIA,groww_master,groww_master
INOXWIND,groww_master,nifty500_master
INTELLECT,groww_master,nifty500_master
IOB,groww_master,nifty500_master
IOC,groww_master,nifty500_master
IONEXCHANG,groww_master,groww_master
IPCALAB,groww_master,nifty500_master
IRB,groww_master,nifty500_master
IRCON,groww_master,nifty500_master
IRCTC,groww_master,nifty500_master
IREDA,groww_master,nifty500_master
IRFC,groww_master,nifty500_master
ITC,groww_master,nifty500_master
ITCHOTELS,groww_master,nifty500_master
ITI,groww_master,nifty500_master
IXIGO,groww_master,groww_master
JAIBALAJI,groww_master,groww_master
JAINREC,groww_master,nifty500_master
JAMNAAUTO,groww_master,groww_master
JAYNECOIND,groww_master,groww_master
JBCHEPHARM,groww_master,nifty500_master
JBMA,groww_master,nifty500_master
JINDALSAW,groww_master,nifty500_master
JINDALSTEL,groww_master,nifty500_master
JIOFIN,groww_master,nifty500_master
JKCEMENT,groww_master,nifty500_master
JKLAKSHMI,groww_master,groww_master
JKPAPER,groww_master,groww_master
JKTYRE,groww_master,nifty500_master
JLHL,groww_master,groww_master
JMFINANCIL,groww_master,nifty500_master
JPPOWER,groww_master,nifty500_master
JSFB,groww_master,groww_master
