symbol,week_start,open,high,low,close,volume,days,complete
INDIAGLYCO,2026-08-31,1180.0,1184.2,217.0,260.4,1536905,5,True
INDIAGLYCO,2026-09-07,274.7,316.3,274.7,294.9,829778,4,True
INDIAMART,2026-03-09,2180.0,2183.7,2076.0,2101.8999,383574,3,True
INDIAMART,2026-03-16,2100.2,2140.0,1980.0,1994.4,781871,5,True
INDIAMART,2026-03-23,1961.0,2045.2,1943.1,1970.7,816216,4,True
INDIAMART,2026-03-30,1960.0,2078.0,1925.6,2018.9,383148,3,True
INDIAMART,2026-04-06,2016.9,2130.2,1977.6,2100.0,1007679,5,True
INDIAMART,2026-04-13,2055.5,2179.8999,2045.8,2170.8999,550721,4,True
INDIAMART,2026-04-20,2188.0,2199.0,2099.6001,2107.1001,513316,5,True
INDIAMART,2026-04-27,2125.0,2154.8999,2080.0,2103.6001,286242,5,True
INDIAMART,2026-05-04,2036.6,2122.2,2013.9,2091.8,705185,5,True
INDIAMART,2026-05-11,2071.1001,2088.8999,1934.4,1956.5,395932,5,True
INDIAMART,2026-05-18,1956.5,2040.7,1911.0,2030.0,344280,5,True
INDIAMART,2026-05-25,2030.0,2047.0,1966.4,2015.7,284009,5,True
INDIAMART,2026-06-01,2002.4,2014.0,1955.1,2000.4,178491,5,True
INDIAMART,2026-06-08,1983.1,2022.3,1961.0,2016.4,281941,5,True
INDIAMART,2026-06-15,2021.0,2175.0,2020.7,2089.3999,863567,5,True
INDIAMART,2026-06-22,2089.3999,2095.0,1948.1,1955.4,498752,5,True
INDIAMART,2026-06-29,1970.0,1970.0,1860.0,1879.2,521872,5,True
INDIAMART,2026-07-06,1899.7,1945.0,1867.2,1924.0,349553,5,True
INDIAMART,2026-07-13,1915.0,1978.9,1903.0,1910.1,385997,5,True
INDIAMART,2026-07-20,1910.1,1974.5,1751.1,1759.9,1387357,5,True
INDIAMART,2026-07-27,1772.0,1807.9,1730.0,1799.8,756176,5,True
INDIAMART,2026-08-03,1820.0,1825.0,1748.0,1755.0,576749,5,True
INDIAMART,2026-08-10,1766.0,1815.0,1755.0,1789.9,822310,5,True
INDIAMART,2026-08-17,1789.9,1804.6,1730.0,1742.2,408535,5,True
INDIAMART,2026-08-24,1750.0,1774.0,1722.3,1756.9,308386,5,True
INDIAMART,2026-08-31,1754.0,1775.0,1722.5,1726.4,244167,5,True
INDIAMART,2026-09-07,1700.1,1716.4,1624.1,1695.0,443586,4,True
