symbol,status,days,note
THELEELA,ok,127,
THERMAX,ok,128,
THOMASCOOK,ok,127,
THYROCARE,ok,127,
TI,ok,127,
TIINDIA,ok,128,
TIMETECHNO,ok,128,
TIMKEN,ok,128,
TIPSMUSIC,ok,127,
TITAGARH,ok,129,
TITAN,ok,129,
TMB,ok,128,
TMCV,ok,129,
TMPV,ok,129,
TORNTPHARM,ok,129,
TORNTPOWER,ok,128,
TRANSRAILL,ok,129,
TRAVELFOOD,ok,128,
TRENT,ok,128,
TRIDENT,ok,127,
TRITURBINE,ok,128,
TRIVENI,ok,127,
TSFINV,ok,127,
TTML,ok,129,
TVSMOTOR,ok,128,
TVSSCS,ok,127,
UBL,ok,127,
UCOBANK,ok,128,
UJJIVANSFB,ok,127,
ULTRACEMCO,ok,129,
UNIONBANK,ok,129,
UNITDSPR,ok,129,
UNOMINDA,ok,129,
UPL,ok,129,
URBANCO,ok,128,
USHAMART,ok,128,
UTIAMC,ok,128,
UTLSOLAR,ok,128,
V2RETAIL,ok,127,
VAIBHAVGBL,ok,126,
VARROC,ok,127,
VBL,ok,129,
VEDL,ok,129,
VGUARD,ok,126,
VIJAYA,ok,128,
VIKRAMSOLR,ok,128,
VIPIND,ok,128,
VIYASH,ok,129,
VMART,ok,126,
VMM,ok,129,
VOLTAMP,ok,127,
VOLTAS,ok,129,
VTL,ok,128,
WAAREEENER,ok,129,
WAAREERTL,ok,128,
WABAG,ok,129,
WAKEFIT,ok,129,
WEBELSOLAR,ok,129,
WELCORP,ok,129,
WELENT,ok,128,
WELSPUNLIV,ok,128,
WESTLIFE,ok,128,
WEWORK,ok,127,
WHIRLPOOL,ok,127,
WIPRO,ok,129,
WOCKPHARMA,ok,129,
YATHARTH,ok,127,
YESBANK,ok,129,
ZAGGLE,ok,127,
ZEEL,ok,129,
ZENSARTECH,ok,128,
ZENTEC,ok,128,
ZFCVINDIA,ok,127,
ZYDUSLIFE,ok,129,
ZYDUSWELL,ok,128,
